Protein_ID,Drug_ID,Binding_Affinity,Interaction_Score,Hydrophobicity_Index,Molecular_Weight,Toxicity_Potential,LogP,pH_Stability,Target_Specificity,ADR_Predicted,Charge_At_pH7,Half_Life_Hours,Bioavailability,Solubility,Metabolism_Rate,Plasma_Protein_Binding
P04427,D0706,0.498,0.13,0.277,332.74,0.306,1.75,8.98,0.862,0,1.39,48.0,0.837,-7.03,2.24,0.394
P05149,D0789,0.411,0.478,-0.399,456.0,0.849,1.59,4.32,0.408,0,-1.29,70.4,0.128,-6.51,1.64,0.198
P04103,D0197,0.979,0.689,0.712,536.52,0.301,6.36,7.91,0.821,0,-0.68,18.2,0.498,-3.36,2.45,0.073
P00531,D0599,0.912,0.536,0.457,752.39,0.559,0.43,5.31,0.259,1,1.24,24.0,0.595,0.97,3.54,0.625
P07330,D0683,0.611,0.298,0.946,441.96,0.586,-0.88,8.44,0.949,0,-1.45,16.2,0.168,-9.59,2.13,0.225
P09650,D0985,0.475,0.703,0.371,406.17,0.654,0.22,4.61,0.218,0,-0.15,19.2,0.623,-0.44,4.36,0.655
P07127,D0637,0.573,0.332,0.434,887.08,0.742,-0.06,8.95,0.178,0,-1.47,14.1,0.65,-0.36,3.38,0.794
P00852,D0902,0.464,0.406,0.647,205.94,0.996,5.17,6.36,0.249,0,-1.04,17.2,0.173,-2.78,3.31,0.037
P03828,D0150,0.347,0.706,0.851,169.19,0.007,3.84,5.9,0.09,0,0.51,60.6,0.925,-9.58,3.53,0.812
P08897,D0403,0.61,0.51,-0.445,192.52,0.775,1.38,4.56,0.174,0,0.84,22.0,0.895,0.26,4.6,0.683
P02571,D0375,0.93,0.672,0.292,835.64,0.799,5.56,5.72,0.091,1,-0.98,67.2,0.258,0.8,1.92,0.796
P09450,D0673,0.646,0.503,-0.175,324.59,0.214,2.92,5.22,0.198,0,0.78,62.3,0.726,-6.7,2.4,0.356
P08662,D0382,0.177,0.658,-0.541,182.77,0.275,-1.75,8.71,0.142,0,1.89,9.1,0.633,-8.79,0.49,0.938
P09536,D0852,0.476,0.505,-0.616,696.57,0.599,3.79,7.32,0.774,0,-1.22,50.8,0.668,0.21,1.47,0.869
P03441,D0894,0.173,0.485,-0.804,630.32,0.21,-0.36,5.76,0.601,0,-1.84,23.3,0.595,-9.64,1.63,0.484
P07568,D0491,0.119,0.757,0.697,743.81,0.603,3.85,4.46,0.296,0,-0.41,25.3,0.369,-1.93,4.96,0.597
P05630,D0110,0.33,0.596,-0.977,542.79,0.181,2.16,6.49,0.047,0,0.17,35.7,0.028,0.88,2.12,0.582
P03456,D0334,0.199,0.399,0.989,282.86,0.555,4.52,7.79,0.769,0,-1.03,10.7,0.425,-5.29,1.02,0.992
P08734,D0756,0.935,0.376,0.929,367.95,0.789,1.83,8.15,0.79,1,-0.73,66.9,0.866,-5.98,4.69,0.892
P03773,D0952,0.056,0.755,0.062,195.9,0.974,5.83,6.7,0.894,0,-1.94,69.5,0.027,-7.07,2.26,0.66
P09632,D0354,0.964,0.4,0.486,677.89,0.442,0.64,8.97,0.48,0,-0.23,11.2,0.686,-4.98,1.4,0.444
P07011,D0089,0.841,0.559,-0.083,635.75,0.361,-0.02,6.26,0.927,0,0.83,15.5,0.094,-6.78,4.38,0.66
P04531,D0496,0.261,0.621,-0.561,660.46,0.801,-0.78,4.41,0.758,0,1.7,2.5,0.619,0.54,2.95,0.193
P05201,D0096,0.093,0.357,0.478,883.23,0.265,2.41,5.45,0.005,0,0.49,18.9,0.469,-6.84,3.21,0.501
P01923,D0442,0.567,0.395,-0.103,195.15,0.451,-0.09,7.29,0.77,0,0.63,49.1,0.592,0.78,1.5,0.059
P06544,D0577,0.246,0.524,0.732,198.81,0.187,4.19,7.13,0.985,0,1.46,43.1,0.479,-8.79,3.4,0.186
P05105,D0659,0.251,0.448,0.721,703.79,0.781,-0.57,5.66,0.75,0,1.82,44.1,0.166,-9.94,4.23,0.575
P01840,D0252,0.574,0.725,0.917,879.57,0.418,2.15,8.44,0.965,0,-0.68,15.1,0.985,-8.31,3.19,0.696
P01347,D0841,0.458,0.543,0.397,557.04,0.604,3.2,5.31,0.544,0,0.68,30.2,0.977,-8.77,3.72,0.526
P00705,D0155,0.507,0.221,-0.015,759.52,0.161,1.81,5.4,0.393,0,-0.12,58.7,0.221,-8.88,1.56,0.039
P05649,D0240,0.319,0.55,0.122,607.04,0.937,-2.58,6.57,0.552,0,0.75,19.7,0.808,-7.97,4.79,0.351
P03741,D0309,0.324,0.53,-0.282,849.3,0.989,0.36,6.18,0.002,0,0.01,43.1,0.821,-9.07,3.67,0.52
P05849,D0360,0.999,0.676,0.319,299.72,0.391,5.43,6.42,0.488,1,-1.88,19.6,0.479,-0.32,1.2,0.86
P01838,D0818,0.393,0.338,-0.816,421.58,0.842,4.05,7.23,0.65,0,0.7,35.3,0.895,-6.42,1.31,0.825
P02259,D0240,0.223,0.817,0.983,609.56,0.145,6.88,8.76,0.581,0,0.27,55.8,0.8,-0.1,4.69,0.182
P05559,D0524,0.704,0.424,-0.874,298.96,0.756,-0.08,7.13,0.378,0,0.17,30.8,0.672,-4.35,2.29,0.833
P00354,D0414,0.784,0.644,0.205,775.61,0.818,6.31,5.42,0.959,0,1.7,55.5,0.552,-6.15,1.72,0.473
P07997,D0735,0.235,0.58,-0.419,748.44,0.549,1.27,8.94,0.795,0,1.04,20.7,0.632,-0.31,2.4,0.838
P04165,D0359,0.109,0.724,0.644,689.21,0.572,-2.26,8.31,0.846,0,-1.79,31.6,0.269,-4.96,2.01,0.63
P06308,D0764,0.294,0.372,0.26,615.08,0.783,0.59,5.81,0.393,0,0.26,22.0,0.926,-2.72,3.6,0.379
P00490,D0351,0.525,0.515,0.215,314.4,0.248,-0.98,6.25,0.123,0,-0.72,71.2,0.832,-6.43,1.9,0.154
P08070,D0026,0.381,0.503,0.497,802.5,0.178,-0.15,4.75,0.198,0,-0.98,60.4,0.67,-9.69,0.38,0.085
P08669,D0945,0.155,0.446,-0.764,583.18,0.741,0.34,6.41,0.438,0,1.59,18.5,0.635,-3.8,0.18,0.439
P06205,D0106,0.025,0.234,-0.377,308.93,0.491,0.11,6.02,0.295,0,1.78,14.1,0.149,-6.73,4.95,0.206
P03536,D0261,0.506,0.679,0.012,702.69,0.887,-2.66,8.25,0.41,1,-1.81,45.2,0.727,-4.3,3.5,0.285
P07841,D0288,0.871,0.515,-0.36,173.76,0.993,-0.05,5.48,0.24,1,-1.04,15.2,0.998,-9.47,1.27,0.945
P02262,D0243,0.595,0.734,-0.78,313.52,0.854,2.92,7.4,0.997,0,1.21,11.9,0.444,-8.07,3.38,0.507
P01058,D0230,0.869,0.191,-0.381,320.13,0.188,4.77,5.05,0.321,0,1.01,5.6,0.706,-1.53,4.45,0.191
P07363,D0049,0.766,0.457,-0.083,368.75,0.444,-2.94,5.79,0.22,0,-1.24,25.1,0.187,-1.74,3.67,0.068
P03495,D0120,0.343,0.449,-0.704,175.78,0.651,-2.0,6.17,0.77,0,-0.5,21.1,0.205,-9.78,3.6,0.788
P03302,D0473,0.413,0.419,0.324,781.93,0.295,3.23,8.93,0.421,0,0.53,12.1,0.767,-5.76,3.37,0.583
P08542,D0334,0.862,0.48,-0.855,223.01,0.839,-2.22,7.44,0.119,1,1.62,56.7,0.163,1.0,3.89,0.583
P05430,D0259,0.705,0.532,0.783,771.9,0.447,-2.84,5.97,0.134,0,-1.04,4.0,0.194,-6.31,2.48,0.425
P02110,D0957,0.559,0.433,-0.274,285.2,0.109,0.15,7.34,0.496,0,0.95,65.8,0.52,-9.7,0.95,0.166
P08630,D0068,0.947,0.527,-0.282,780.73,0.239,3.93,4.26,0.425,0,-1.49,51.0,0.102,-6.14,1.41,0.677
P07436,D0137,0.047,0.416,-0.58,171.82,0.596,5.53,4.93,0.379,0,0.26,26.8,0.108,-6.76,3.34,0.683
P05650,D0066,0.857,0.696,-0.036,738.36,0.684,2.31,8.01,0.715,1,0.75,55.0,0.004,-2.5,0.97,0.148
P01290,D0257,0.319,0.539,0.664,549.6,0.698,1.76,8.83,0.905,0,1.92,28.8,0.891,-9.02,1.19,0.244
